"Dates","BE","CH","CZ","DE_AT","DK1","DK2","ES","FR","NL"
"20171204 - H1",61.9,63.04,19.8,12.05,12.05,12.05,68.71,68.71,32.5
"20171204 - H2",48.33,59.21,15.96,17.69,17.69,17.69,58.25,58.25,32.4
"20171204 - H3",45.67,58.06,13.78,15.31,15.31,15.31,55.91,55.91,29.4
"20171204 - H4",45.68,56.09,11.17,12.75,12.75,12.75,55.15,55.15,29.9
"20171204 - H5",42,56.06,13,17.18,17.18,17.18,55.15,55.15,31
"20171204 - H6",50.76,58.69,24.29,25.05,25.05,25.84,56.71,58.57,30.1
"20171204 - H7",51.39,67.77,39.5,33.19,33.19,32.39,68.63,68.63,33.46
"20171204 - H8",65.26,84.34,48,38.56,38.56,38.56,77.2,83.32,42.4
"20171204 - H9",94.67,108.8,47.5,42.9,41.88,41.88,77.2,103.39,45
"20171204 - H10",99.62,105.05,45.2,38.29,38.29,38.29,78.2,103.39,52.4
"20171204 - H11",81.95,91.99,45,37.06,37.06,37.06,78.2,97.02,45.1
"20171204 - H12",94.13,84.47,44.5,38.94,37.54,38.94,77.53,94.79,52.9
"20171204 - H13",99.56,80.04,43.63,36.36,36.36,36.36,77.24,85.74,57.76
"20171204 - H14",87.3,80.73,46.63,39.45,35.92,39.45,77.26,85,41
"20171204 - H15",89.4,81.14,48.94,43.97,34.85,42.92,76.4,90.5,44.9
"20171204 - H16",89.2,97.89,51,46.14,37.28,45.04,77.24,86.73,49.9
"20171204 - H17",89.4,100.44,54.84,50.96,44.79,50.96,77.11,88.75,63.47
"20171204 - H18",141.81,114.18,58.13,51.04,51.04,51.04,78.9,106.11,84.85
"20171204 - H19",112.65,111.61,52.5,48.85,44.86,48.85,81.01,111.36,62.9
"20171204 - H20",98.42,98.08,49.98,45.6,35.89,41.44,81.89,104,45.6
"20171204 - H21",71.64,79.98,43.9,42.38,34.16,36.01,81.81,83.99,42.38
"20171204 - H22",49.85,68.78,37,39.83,33.66,33.66,76.54,76.54,40.1
"20171204 - H23",51.68,68.08,33,33.53,32.49,32.49,74.69,74.69,40.1
"20171204 - H24",48.82,69.02,27.43,30.03,30.03,30.03,69.99,69.99,38.2
"20171205 - H1",51.76,68.79,29.32,28.69,19.98,28.69,71.35,71.35,37.5
"20171205 - H2",51.09,65.02,27.15,28.01,28.01,28.01,68,68,39.1
"20171205 - H3",47.12,61.89,25.42,26.88,26.88,26.88,62.75,62.75,38
"20171205 - H4",45.22,60.03,24.1,27.93,27.93,27.93,59.88,59.22,37.5
"20171205 - H5",45.53,59.95,25,28.23,28.23,28.23,59.94,59.22,37.6
"20171205 - H6",52.4,62.94,30.22,30.73,29.99,29.99,61.38,61.38,50.1
"20171205 - H7",59.98,69.31,38.63,35.39,31.73,31.73,71.4,71.4,49.9
"20171205 - H8",134.22,90.18,45.2,39.69,33.77,33.77,77.1,107.27,40.2
"20171205 - H9",160.55,111.39,45.5,40.05,33.88,33.88,80,135.56,46.6
"20171205 - H10",142.02,108.64,43.5,40.36,33.05,33.05,80,120.86,59.9
"20171205 - H11",132.23,97.28,42.9,47.59,32.43,32.43,80,99.21,58.99
"20171205 - H12",122.24,97.6,41.5,46.78,31.9,31.9,79.3,110,49.9
"20171205 - H13",111.96,90.68,41,44.07,31.57,31.57,78.44,102.68,44.07
"20171205 - H14",112.36,89.35,41,42.45,30.95,30.95,78.48,103.39,42.45
"20171205 - H15",116.77,95.07,41,39.97,30.91,30.91,78.48,106.18,40
"20171205 - H16",120.26,103.48,42,39.05,31.45,31.45,77.9,108.75,40
"20171205 - H17",133.39,110.08,45.12,39.05,31.96,31.96,78.46,117.93,52.6
"20171205 - H18",128.11,120.02,48,43.96,32.18,32.18,83.91,94.92,78.05
"20171205 - H19",117.1,119.41,43.58,40.04,31.8,31.8,88.89,114.75,49.9
